"Name","State","Notes","User","Tags","Created","Runtime","Sweep","dataset_name","diameter","n_faces","n_steps","n_X","n_vertices","noise_factor","subdivisions","diff_dist","diff_dist_per_vertex","diff_duration","diff_duration_per_vertex","diff_seq_duration","diff_seq_duration_per_time_and_vertex","diff_seq_per_time_and_vertex","diff_seq_per_time_vertex_diameter","geodesic_dist","geodesic_dist_per_vertex","geodesic_duration","geodesic_regression_duration","geodesic_regression_duration_per_vertex","line_duration","linear_dist","linear_dist_per_vertex","linear_regression_duration","linear_regression_duration_per_vertex","relative_diff_dist","relative_diff_duration","relative_diff_seq_duration","relative_diff_seq_per_time_and_vertex","run_name","post_error","rmsd","rmsd_diameter"
"run_5hheo8x0","finished","-","adelemyers","","2023-08-12T01:17:59.000Z","4936","","synthetic_mesh","162000","1280","20","10","642","1","3","-8096869142440.828","-12611945704.736492","-1566.6813089847565","-2.440313565396817","-3351.201724052429","-0.521994038014397","119.13743392381252","0.0007354162587889661","8096872947586.878","12611951631.755262","3351.202134370804","1566.68151140213","2.4403138806886764","0.00041031837463378906","3805146.049713853","5927.018769024693","0.00020241737365722656","3.152918592791691e-7","-2127873.4210608588","-7739855.925795053","-8167320.625217897","-1272.1683216850306","run_5hheo8x0","true","9545.875276773946","0.0589251560294688"
"run_tfx4b0at","finished","-","adelemyers","","2023-08-12T00:10:35.000Z","4042","","synthetic_mesh","5400","320","20","10","162","1","2","-566826159.5523586","-3498926.9108170285","-185.51318454742432","-1.1451431144902735","-2114.847380876541","-1.305461346220087","12.518239157796804","0.0023181924366290378","566871745.7790008","3499208.3072777824","2114.847727298737","185.5133919715881","1.1451443948863465","0.0003464221954345703","45586.2266421078","281.39646075375185","0.00020742416381835935","0.0000012803960729528356","-12434.153938698311","-894366.3126436782","-6104826.448038541","-3768.411387678112","run_tfx4b0at","true","503.8494068778006","0.09330544571811122"
"run_hjc51vgm","finished","-","adelemyers","","2023-08-12T00:02:50.000Z","463","","synthetic_mesh","180","80","20","10","42","1","1","-42161.72390418915","-1003.8505691473608","-50.62070608139038","-1.2052549066997709","-401.12611865997314","-0.9550621872856504","1.083241603123605","0.00601800890624225","43311.99059742965","1031.2378713673727","401.1264638900757","50.62087893486023","1.2052590222585768","0.0003452301025390625","1150.2666932405","27.387302220011904","0.0001728534698486328","0.000004115558805919829","-36.65386831762667","-292853.2827586207","-1161909.450276243","-2766.451072086293","run_hjc51vgm","true","22.199846749693457","0.12333248194274142"
"run_4oy5o51b","finished","-","adelemyers","","2023-08-11T22:53:59.000Z","4129","","synthetic_mesh","162000","1280","20","10","642","0.5","3","-3845710485030.1777","-5990203247.710557","-787.9479520320892","-1.2273332586169614","-3320.2225139141083","-0.5171686158744717","70.3735306582727","0.0004344045102362513","3845712429922.9746","5990206277.13859","3320.222893714905","787.948112487793","1.2273335085479642","0.00037980079650878906","1944892.7970495147","3029.428032787406","0.00016045570373535156","2.499310027030399e-7","-1977338.0264785208","-4910688.331352155","-8742010.402385436","-1361.6838632999122","run_4oy5o51b","true","5638.672282296217","0.03480661902651986"
"run_4noio6tq","finished","-","adelemyers","","2023-08-11T22:15:06.000Z","2332","","synthetic_mesh","5400","320","20","10","162","0.5","2","-281020553.030149","-1734694.771791043","-236.25717282295227","-1.458377610018224","-2081.7344822883606","-1.2850212853631855","9.90250043377648","0.001833796376625274","281050950.38555175","1734882.4097873564","2081.734865427017","236.25732135772705","1.4583785268995495","0.00038313865661621094","30397.355402783967","187.63799631348127","0.00014853477478027344","9.168813258041572e-7","-9244.90138390169","-1590584.9197431782","-5433371.04293715","-3353.9327425537963","run_4noio6tq","true","398.5679541086165","0.07380888039048454"
"run_urm3aodb","finished","-","adelemyers","","2023-08-11T22:07:45.000Z","440","","synthetic_mesh","180","80","20","10","42","0.5","1","-18658.73028726316","-444.2554830300752","-23.46956038475037","-0.5587990567797706","-403.46550965309143","-0.960632165840694","0.3831643320518849","0.0021286907336215827","19302.738641424166","459.589015272004","403.4658646583557","23.46971607208252","0.5588027636210123","0.00035500526428222656","644.0083541610061","15.333532241928715","0.0001556873321533203","0.0000037068412417457217","-28.97280783192816","-150748.0413476263","-1136505.709200806","-2705.9659742876333","run_urm3aodb","true","7.85253209161492","0.043625178286749555"
"run_esiy63jx","finished","-","adelemyers","","2023-08-11T20:58:59.000Z","4124","","synthetic_mesh","162000","1280","20","10","642","0.1","3","-777936202562.9216","-1211738633.275579","-723.510968208313","-1.126964124935067","-3380.4196803569794","-0.5265451215509314","18.725455877726688","0.00011558923381312772","777936700723.3094","1211739409.2263386","3380.4200356006622","723.5111765861511","1.1269644495111388","0.0003552436828613281","498160.3878532837","775.9507598960806","0.0002083778381347656","3.245760718610057e-7","-1561617.94781651","-3472110.924485126","-9515777.038255034","-1482.2082614104415","run_esiy63jx","true","1500.3753263967596","0.009261576088868888"
"run_au8jto00","finished","-","adelemyers","","2023-08-11T20:25:30.000Z","2008","","synthetic_mesh","5400","320","20","10","162","0.1","2","-332723235.7320683","-2053847.1341485695","-176.42173743247986","-1.0890230705708632","-1817.803656578064","-1.1221010225790518","1.1433068174381376","0.0002117234847107662","332732103.42466986","2053901.8729917896","1817.8040614128113","176.42195749282837","1.0890244289680764","0.0004048347473144531","8867.692601543993","54.73884321940736","0.0002200603485107422","0.0000013583972130292728","-37520.83554115717","-801697.073672806","-4490236.247349823","-2771.7507699690264","run_au8jto00","true","46.017211732751115","0.008521705876435392"
"run_4sondqyi","finished","-","adelemyers","","2023-08-11T20:16:55.000Z","514","","synthetic_mesh","180","80","20","10","42","0.1","1","-35296.31549607278","-840.388464192209","-29.75606894493103","-0.7084778320221674","-471.0921833515167","-1.1216480555988493","0.05319544691326857","0.00029553026062926986","35460.207249772524","844.2906488041077","471.0924925804138","29.756203174591064","0.708481027966454","0.00030922889709472656","163.89175369974865","3.9021846118987775","0.0001342296600341797","0.000003195944286528088","-215.3635841906725","-221680.28241563056","-1523441.6569005398","-3627.242040239381","run_4sondqyi","true","1.0901822509869612","0.006056568061038673"
"run_l2sgoaar","finished","-","adelemyers","","2023-08-11T18:48:25.000Z","5308","","synthetic_mesh","162000","1280","20","10","642","0.01","3","-752112493101.9047","-1171514786.763091","-396.0031228065491","-0.616827294091198","-4893.956815481186","-0.7622985693895928","0.36813829471276566","0.0000022724586093380597","752112562258.8821","1171514894.48424","4893.957165002823","396.0032646656037","0.6168275150554574","0.0003495216369628906","69156.97737629856","107.7211485612127","0.0001418590545654297","2.209642594477098e-7","-10875439.061043585","-2791525.1798319328","-14001870.83697135","-2180.976765883388","run_l2sgoaar","true","29.497044968918978","0.00018208052449949987"
