"Name","State","Notes","User","Tags","Created","Runtime","dataset_name","end_shape","euclidean_subspace","full_run","use_parka","geodesic_initialization","geodesic_residuals","n_times","noise_factor","sped_up","start_shape","ellipsoid_dims","n_steps","n_subdivisions","tol_factor","euclidean_subspace_via_diffs","euclidean_subspace_via_ratio","geodesic_coef_err","geodesic_duration_time","geodesic_intercept_err","geodesic_tol","linear_coef_err","linear_duration_time","linear_intercept_err","mesh_diameter","ellipse_ratio_h_v","n_faces","test_diff_tolerance"
"run_5bx8eemd","running","-","adelemyers","","2023-07-07T20:08:45.000Z","661","real","","false","","","warm_start","false","","","true","","","3","","0.01","","","","","","237001.2258411555","7.38852966191067","21.099008321762085","4.19914624162314","4.108250774652815","","2386","0.04108250774652815"
"run_2f6cdaf0","finished","-","adelemyers","","2023-07-07T18:26:45.000Z","6118","real","","false","true","","warm_start","false","","","true","","","5","","0.001","","","7.38852966191067","2499.015590906143","4.19914624162314","2370.0122584115543","7.38852966191067","19.041342735290527","4.19914624162314","4.108250774652815","","2386","0.004108250774652815"
"run_obbz3jta","finished","-","adelemyers","","2023-07-07T18:20:35.000Z","368","real","","false","true","","warm_start","false","","","true","","","3","","0.001","","","7.38852966191067","190.3481433391571","4.19914624162314","2370.0122584115543","7.38852966191067","18.17077612876892","4.19914624162314","4.108250774652815","","2386","0.004108250774652815"
"run_qn71x0ec","finished","-","adelemyers","","2023-06-28T17:50:53.000Z","363","real","","","","","warm_start","false","","","true","","","","","","true","true","7.38852966191067","184.6370370388031","4.19914624162314","48.68277167963585","7.38852966191067","21.09443759918213","4.19914624162314","4.108250774652815","","",""
