"Name","State","Notes","User","Tags","Created","Runtime","Sweep","dataset_name","diameter","n_faces","n_steps","n_times","n_vertices","noise_factor","subdivisions","diff_dist","diff_dist_per_vertex","diff_duration","diff_duration_per_vertex","diff_seq_duration","diff_seq_duration_per_time_and_vertex","diff_seq_per_time_and_vertex","diff_seq_per_time_vertex_diameter","geodesic_dist","geodesic_dist_per_vertex","geodesic_duration","geodesic_regression_duration","geodesic_regression_duration_per_vertex","line_duration","linear_dist","linear_dist_per_vertex","linear_regression_duration","linear_regression_duration_per_vertex","relative_diff_dist","relative_diff_duration","relative_diff_seq_duration","relative_diff_seq_per_time_and_vertex","run_name","post_error","rmsd","rmsd_diameter"
"run_raxfxqg3","finished","-","adelemyers","","2023-08-10T02:16:48.000Z","1607","","synthetic","162000","1280","8","10","642","0.5","3","-3806549354088.5713","-5929204601.384068","-432.1634757518768","-0.6731518313892162","-1154.8516681194303","-0.17988343740178045","75.09087175177972","0.0004635238997023439","3806551320474.796","5929207664.290959","1154.852058172226","432.16368412971497","0.6731521559652881","0.00039005279541015625","1966386.224477077","3062.9068917088425","0.0002083778381347656","3.245760718610057e-7","-1935809.611919373","-2073941.6418764305","-2960757.317237164","-461.1771522176268","run_raxfxqg3","true","6016.648777454033","0.03713980726823477"
"run_ci2qcxsc","finished","-","adelemyers","","2023-08-10T01:59:43.000Z","1023","","synthetic","5400","320","8","10","162","0.5","2","-269428042.33895165","-1663136.0638206892","-212.08320879936215","-1.309155609872606","-796.2124547958374","-0.4914891696270602","16.81519606171684","0.0031139251966142297","269446355.9083858","1663249.1105455917","796.2128300666809","212.0834429264069","1.309157055101277","0.0003752708435058594","18313.56943417516","113.04672490231582","0.0002341270446777344","0.0000014452286708502125","-14711.934956610308","-905846.6914460284","-2121700.8157560355","-1309.6918615777995","run_ci2qcxsc","true","676.7985860817408","0.12533307149661868"
"run_ukbnqgvs","finished","-","adelemyers","","2023-08-10T01:56:34.000Z","188","","synthetic","180","80","8","10","42","0.5","1","-18532.06012628542","-441.23952681631954","-53.12516927719116","-1.2648849827902655","-122.39878606796265","-0.29142568111419676","0.4679502342335302","0.002599723523519612","19105.294961889333","454.88797528307936","122.39910697937012","53.12526202201843","1.264887191000439","0.0003209114074707031","573.2348356039096","13.648448466759753","0.0000927448272705078","0.000002208210173107329","-32.328914740084976","-572810.0514138817","-381409.8945022288","-908.1187964338782","run_ukbnqgvs","true","9.590126022220492","0.053278477901224953"
"run_qbpuzksw","finished","-","adelemyers","","2023-08-10T01:25:46.000Z","1846","","synthetic","162000","1280","5","10","642","0.5","3","-4026916033314.4897","-6272454880.552164","-1202.303528547287","-1.8727469292013816","-623.5503189563751","-0.09712621790597745","47.93944966592999","0.000295922528802037","4026918347667.6494","6272458485.463629","623.5507171154022","1202.3037567138672","1.8727472846010391","0.0003981590270996094","2314353.159993465","3604.911464164276","0.0002281665802001953","3.55399657632703e-7","-1739974.7380498576","-5269411.179728318","-1566083.591017964","-243.9382540526424","run_qbpuzksw","true","3841.1437301964825","0.023710763766644955"
"run_wm5razv6","finished","-","adelemyers","","2023-08-10T01:14:21.000Z","683","","synthetic","5400","320","5","10","162","0.5","2","-269568871.2528377","-1664005.3781039366","-230.00881934165955","-1.4198075268003676","-437.74054169654846","-0.2702102109237953","7.723364495170101","0.0014302526842907594","269594582.6667151","1664164.0905352782","437.7409071922302","230.0090582370758","1.4198090014634308","0.0003654956817626953","25711.413877376883","158.7124313418326","0.0002388954162597656","0.0000014746630633318866","-10484.404807081715","-962801.3083832336","-1197662.6908023483","-739.2979572854002","run_wm5razv6","true","310.8594244717564","0.0575665600873623"
"run_ao0939lc","finished","-","adelemyers","","2023-08-10T01:11:47.000Z","153","","synthetic","180","80","5","10","42","0.5","1","-16412.934480350414","-390.7841542940575","-66.59887456893921","-1.5856874897366475","-71.42488527297974","-0.17005925064995175","0.48273709196104847","0.002681872733116936","17012.50247673872","405.0595827794933","71.42527365684509","66.59902954101562","1.585691179547991","0.0003883838653564453","599.5679963883056","14.275428485435848","0.00015497207641601562","0.0000036898113432384673","-27.37460067785323","-429747.5784615385","-183902.81276856968","-437.8638399251659","run_ao0939lc","true","9.89316642845475","0.054962035713637496"
"run_fmupig9y","finished","-","adelemyers","","2023-08-10T00:36:34.000Z","2111","","synthetic","162000","1280","3","10","642","0.5","3","-3828096111589.979","-5962766528.956353","-1835.248155117035","-2.858641986163606","-257.27605724334717","-0.040074152218589905","13.56063856721899","0.00008370764547666043","3828098806213.8535","5962770726.189803","257.27644395828247","1835.24831032753","2.8586422279245016","0.0003867149353027344","2694623.874344314","4197.233449134445","0.0001552104949951172","2.4176089563102364e-7","-1420642.0970427548","-11824252.96159754","-665286.0641183724","-103.62711279102372","run_fmupig9y","true","1086.5448429824685","0.006707066931990545"
"run_3seqj2eh","finished","-","adelemyers","","2023-08-10T00:29:53.000Z","399","","synthetic","5400","320","3","10","162","0.5","2","-274418919.0197824","-1693943.944566558","-173.7400984764099","-1.072469743681543","-211.1481945514679","-0.13033839169843697","3.8058445949757367","0.0007047860361066179","274453812.26138157","1694159.3349467998","211.14870238304135","173.74054956436157","1.072472528175071","0.0005078315734863281","34893.241599143075","215.39038024162392","0.00045108795166015625","0.0000027844935287663967","-7864.529245300091","-385157.922832981","-415783.90469483566","-256.6567312931084","run_3seqj2eh","true","153.18229007098623","0.02836709075388634"
"run_26ef139k","finished","-","adelemyers","","2023-08-10T00:28:35.000Z","77","","synthetic","180","80","3","10","42","0.5","1","-18924.369326696957","-450.5802220642133","-37.362664222717285","-0.8895872433980306","-24.395336151123047","-0.05808413369315011","0.3561350334250149","0.001978527963472305","19649.980571043485","467.8566802629402","24.395699739456177","37.362815380096436","0.8895908423832485","0.0003635883331298828","725.6112443465272","17.27645819872684","0.00015115737915039062","0.0000035989852178664434","-26.080589949704972","-247177.2429022082","-67096.03672131148","-159.75246838407494","run_26ef139k","true","7.298596307079007","0.04054775726155004"
"run_a5mfypkx","finished","-","adelemyers","","2023-08-10T00:01:46.000Z","1607","","synthetic","162000","1280","8","10","642","0.1","3","-726531562419.4011","-1131669100.3417463","-489.45690417289734","-0.7623939317334849","-1099.5747094154358","-0.17127331922358813","34.766945939828446","0.0002146107774063484","726532022942.6968","1131669817.667752","1099.5751597881315","489.45712900161743","0.7623942819339835","0.0004503726959228515","460523.2956833419","717.3260057372927","0.00022482872009277344","3.502004985868745e-7","-1577621.7386383158","-2177021.262990456","-2441477.290629963","-380.29241287071073","run_a5mfypkx","true","2785.698153513866","0.017195667614283126"
