,estimator_intercept_err_norm,_step,_timestamp,linear_noise,estimator_intercept_err,estimator_intercept_hat,lr_duration_time,estimator_coef_err,estimator_coef_hat,estimator_coef_err_sum,synthetic_tan_vec_length,rmsd_linear,lr_coef_err_sum,linear_intercept_hat,lr_intercept_err_norm,estimator_coef_err_norm,X,_wandb,geodesic_tol,noise_factor,lr_coef_err_norm,estimator,true_intercept,lr_intercept_err,model,rmsd_geodesic,lr_coef_err,linear_coef_hat,lr_intercept_err_sum,estimator_duration_time,_runtime,true_coef,estimator_intercept_err_sum,line vs geodesic,n_gr_function_evaluations,n_gr_iterations,n_gr_jacobian_evaluations,n_X,model,full_run,use_cuda,device_id,estimator,tol_factor,project_dir,torch_dtype,dataset_name,linear_noise,noise_factor,space_dimension,project_linear_noise,synthetic_tan_vec_length,0
0,1.1383832773626916,5,1709947624.5439873,True,"[0.5258531506401187, 0.4255734751115052, 0.26103347910467856, 0.4699404489582107, 0.36882742014702746, 0.42630450516638585, 0.08967770669557495, 0.1881772098667828, 0.32544610198069135, 0.1504277190825949, 0.2439960047012065]","[0.17313574732728426, 0.0338853318396048, 0.05548027630529783, 0.22876915999323996, 0.07280545949499051, 0.14687087832098908, 0.0476464622261897, 0.0674207555248618, 0.08099888851743384, 0.06429643066761073, 0.08413630147780113]",0.00204324722290039,"[-0.6844499292082284, -0.3042197563818123, 0.5393745626655428, -0.2866142239812753, 0.05925265612829228, -0.16676520806018116, 0.1453927327081725, 0.8406324053847911, 0.5388106406853633, 0.02425862030351577, 0.8309118762538998]","[-0.7299991198420902, -0.04206841657487378, 0.4172680444445246, -0.10882822871136837, -0.02223521997182586, -0.1921733687206101, 0.1160777016483901, 0.46304147440367555, 0.665086046929426, 0.03195587658965213, 0.3037368367613797]",1.5365843764980809,5.0,0.9602978228631718,-1.6354810524677583,"[0.17313574732728426, 0.0338853318396048, 0.05548027630529783, 0.22876915999323996, 0.07280545949499051, 0.14687087832098908, 0.0476464622261897, 0.0674207555248618, 0.08099888851743384, 0.06429643066761073, 0.08413630147780113]",0.6623103149286484,1.6354012751813405,"[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",{'runtime': 5},0.01,0.6,1.6358390249719466,LR,"[0.466495867202644, 0.3403886600541484, 0.22091601596329952, 0.44278507316547167, 0.3101903563237434, 0.38046088343716467, 0.08589122700806516, 0.16884670777583832, 0.2795652773827489, 0.13861186163082992, 0.2177834056432187]","[-0.29336011987535976, -0.3065033282145436, -0.16543573965800168, -0.2140159131722317, -0.2373848968287529, -0.2335900051161756, -0.03824476478187546, -0.10142595225097652, -0.19856638886531505, -0.07431543096321919, -0.1336471041654176]",3,1.0111815649357334,"[0.6690440010332656, 0.2952436293429254, -0.546020700989295, 0.270412588278189, -0.06845972794855502, 0.1540617326712495, -0.14861563799095728, -0.8463250352557323, -0.5474855771563276, -0.029151145405767936, -0.8381851790467525]","[-0.7299991198420902, -0.04206841657487378, 0.4172680444445246, -0.10882822871136837, -0.02223521997182586, -0.1921733687206101, 0.1160777016483901, 0.46304147440367555, 0.665086046929426, 0.03195587658965213, 0.3037368367613797]",-1.9964896438918691,0.00204324722290039,6.236403226852417,"[-1.3990431208753558, -0.3373120459177992, 0.9632887454338196, -0.37924081698955736, 0.04622450797672917, -0.34623510139185965, 0.2646933396393474, 1.3093665096594078, 1.2125716240857536, 0.06110702199542006, 1.1419220158081322]",3.475257221454777,,,,,30,3,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.6,10,True,5.0,run_sd8afrcb
1,0.9634908777457616,5,1709947611.3593976,True,"[0.4949052738443353, 0.4280377668032226, 0.2505526958783025, 0.4082051201606175, 0.3236469075849894, 0.4074453549666696]","[0.2396532451970211, 0.058110600891638234, 0.08525617859988771, 0.3348531914864515, 0.1688350931932239, 0.18879900427376556]",0.00228118896484375,"[-0.6622545078316922, 0.3644282655744987, 1.009746361112984, -0.3860205678385978, 0.9021865045449928, -0.2832915902482447]","[-0.4973303077769765, 0.02121028718004463, 1.1982547020688772, -0.0627199513452148, 0.1794063302077862, -0.4893374396699202]",0.9447944653139412,5.0,0.8230944687596962,-1.1508618754985,"[0.2396532451970211, 0.058110600891638234, 0.08525617859988771, 0.3348531914864515, 0.1688350931932239, 0.18879900427376556]",0.5567549503015592,1.6230166975594773,"[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",{'runtime': 4},0.01,0.6,1.6238979255698294,LR,"[0.5153741646356963, 0.3760537523704699, 0.2440630564734965, 0.48917901151883386, 0.3426913441420776, 0.4203246454331641]","[-0.27572091943867516, -0.3179431514788317, -0.15880687787360878, -0.15432582003238238, -0.17385625094885368, -0.23152564115939855]",3,0.864478699632283,"[0.6173181108814062, -0.3901041271355114, -1.029306553037948, 0.3368264620367232, -0.9326439522902804, 0.2470481840471105]","[-0.4973303077769765, 0.02121028718004463, 1.1982547020688772, -0.0627199513452148, 0.1794063302077862, -0.4893374396699202]",-1.31217866093175,0.00228118896484375,6.2094175815582275,"[-1.1146484186583827, 0.411314414315556, 2.227561255106825, -0.399546413381938, 1.1120502824980667, -0.7363856237170308]",2.312793119238137,,,,,30,3,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.6,5,True,5.0,run_u98blrqh
2,0.8320800838742216,5,1709947594.2665713,True,"[0.5266445639649809, 0.31753256324932233, 0.28865550972813314, 0.4804725145168799]","[0.30803029816564464, 0.32758269400891904, 0.08539889903057378, 0.3222662325271638]",0.002128124237060547,"[0.05165259387577524, 0.6748568546661011, -0.3918606466978872, -0.3656223820279011]","[-0.030186698974862963, 0.7932446267310972, -0.17053018289998945, -0.8108492149011252]",-0.030973580183911945,5.0,0.8229106289608386,-0.311439781692459,"[0.30803029816564464, 0.32758269400891904, 0.08539889903057378, 0.3222662325271638]",0.466164305130184,0.8633274334886861,"[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",{'runtime': 4},0.01,0.6,0.8939029823601837,LR,"[0.6134147007763507, 0.4475911208106732, 0.29049160208307806, 0.5822363974899817]","[-0.3053844026107061, -0.12000842680175416, -0.2050927030525043, -0.2599701649628179]",3,0.8938784974808898,"[-0.15756573844123348, -0.7642822025081314, 0.3488460000004836, 0.26156215925642223]","[-0.030186698974862963, 0.7932446267310972, -0.17053018289998945, -0.8108492149011252]",-0.8904556974277824,0.002128124237060547,6.274996280670166,"[0.12737903946637052, 1.5575268292392286, -0.519376182900473, -1.0724113741575474]",1.6133051514593162,,,,,30,3,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.6,3,True,5.0,run_s6ln6klq
3,0.6856283776283252,6,1709947580.2238698,True,"[0.5525013351480004, 0.3434589440138178, 0.21648210236839305]","[0.42753245247933447, 0.3942838140902286, 0.2647588885262651]",0.0020711421966552734,"[0.10056672425627604, -0.5618974945170405, 0.5641983249242731]","[-0.4383805581208882, 0.21569788780358393, 0.5658147053753756]",0.10286755466350866,5.0,0.8077891040810865,-0.17306104776701697,"[0.42753245247933447, 0.3942838140902286, 0.2647588885262651]",0.37400182575228785,0.8025971655939991,"[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",{'runtime': 5},0.01,0.6,0.8017337765596795,LR,"[0.7544894904357018, 0.5505293502692152, 0.3572996547916481]","[-0.3269570379563673, -0.15624553617898657, -0.092540766265383]",3,0.8798761350590548,"[-0.13070377158669727, 0.5377473423164368, -0.5801046184967565]","[-0.4383805581208882, 0.21569788780358393, 0.5658147053753756]",-0.5757433404007368,0.0020711421966552734,6.467947721481323,"[-0.30767678653419095, -0.32204945451285294, 1.145919323872132]",1.1124423815302111,"{'format': 'png', 'height': 800, 'sha256': '89f5c2fcbc40b2d07625efdb80f090ff8af25c3301bcae1af3b5b66077340162', 'path': 'media/images/line vs geodesic_6_89f5c2fcbc40b2d07625.png', 'size': 112064, '_type': 'image-file', 'width': 800}",,,,30,3,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.6,2,True,5.0,run_w4mofema
4,1.0440987351205695,5,1709947560.1133528,True,"[0.4974121939526964, 0.3321434157740806, 0.22278271298229835, 0.4739200044476268, 0.3519622762907532, 0.3737158178196008, 0.061689730201202775, 0.1562024549169232, 0.3131611151230055, 0.1234254994786956, 0.23048253171273236]","[0.17115998669438826, 0.1841531702129641, 0.10563110954994843, 0.15901664449062808, 0.07299682359318302, 0.201079013076936, 0.0890255348384046, 0.10780474944290425, 0.0735852273583066, 0.0977471028946121, 0.08324223172903508]",0.0020325183868408203,"[-0.7391726814096417, -0.10966740603932834, 0.4132969795498225, -0.12381390306788333, -0.01185898069260334, -0.17394717402039045, 0.2625970288455815, 0.6485420084265624, 0.3581301231139873, 0.05264355888538592, 0.6812337258586947]","[-0.5830001674980754, -0.1642530872550257, 0.5894227046090805, -0.18288804863498428, 0.10416886815526816, -0.10201927924060372, 0.023335441841430063, 0.6942969385375655, 0.8969373112295141, 0.03708133567337921, 0.4969861929495759]",1.2579832794501873,5.0,0.8491558757229704,-0.7272744690569135,"[0.17115998669438826, 0.1841531702129641, 0.10563110954994843, 0.15901664449062808, 0.07299682359318302, 0.201079013076936, 0.0890255348384046, 0.10780474944290425, 0.0735852273583066, 0.0977471028946121, 0.08324223172903508]",0.5998512734832746,1.3636779599428657,"[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",{'runtime': 5},0.01,0.4,1.3747411860162253,LR,"[0.466495867202644, 0.3403886600541484, 0.22091601596329952, 0.44278507316547167, 0.3101903563237434, 0.38046088343716467, 0.08589122700806516, 0.16884670777583832, 0.2795652773827489, 0.13861186163082992, 0.2177834056432187]","[-0.29533588050825577, -0.15623548984118432, -0.11528490641335108, -0.2837684286748436, -0.2371935327305604, -0.17938187036022865, 0.003134307830339439, -0.06104195833293408, -0.2059800500244423, -0.040864758736217824, -0.13454117391418363]",3,0.880652950495409,"[0.8160429533772804, 0.1730589586627735, -0.37386604082473907, 0.19635276835457308, 0.057944360178539, 0.24421582215125592, -0.24135789779791733, -0.6150695711218424, -0.31563431285623944, -0.024025686322040857, -0.6449358228585563]","[-0.5830001674980754, -0.1642530872550257, 0.5894227046090805, -0.18288804863498428, 0.10416886815526816, -0.10201927924060372, 0.023335441841430063, 0.6942969385375655, 0.8969373112295141, 0.03708133567337921, 0.4969861929495759]",-1.706493741705862,0.0020325183868408203,6.487724781036377,"[-1.3990431208753558, -0.3373120459177992, 0.9632887454338196, -0.37924081698955736, 0.04622450797672917, -0.34623510139185965, 0.2646933396393474, 1.3093665096594078, 1.2125716240857536, 0.06110702199542006, 1.1419220158081322]",3.136897752699616,,,,,30,3,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.4,10,True,5.0,run_qol3hqht
5,1.0076207264675718,5,1709947546.7578793,True,"[0.5255219498150518, 0.4121580652826241, 0.19241729445833303, 0.4836508427755951, 0.32829210002710507, 0.43650164034937206]","[0.2118821298380934, 0.1018376137932227, 0.20413010224970204, 0.22898582434814277, 0.17976841631361537, 0.1582789691834086]",0.002573728561401367,"[-0.4164549506792605, 0.18857661259031497, 0.8444039477579033, -0.26250031379710737, 0.28908863643822447, -0.21848245919576129]","[-0.7741626356744145, 0.17294379310038407, 1.3360902302750617, -0.21213239910886733, 0.7682923028883365, -0.5783092522423948]",0.4246314731143135,5.0,0.7118158596921742,-0.7876234569249909,"[0.2118821298380934, 0.1018376137932227, 0.20413010224970204, 0.22898582434814277, 0.17976841631361537, 0.1582789691834086]",0.5760285220180311,1.0593522224397107,"[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",{'runtime': 5},0.01,0.4,1.0703987154781185,LR,"[0.5153741646356963, 0.3760537523704699, 0.2440630564734965, 0.48917901151883386, 0.3426913441420776, 0.4203246454331641]","[-0.3034920347976029, -0.2742161385772472, -0.03993295422379445, -0.26019318717069106, -0.1629229278284622, -0.2620456762497555]",3,0.7348352268851129,"[0.34048578298396825, -0.23837062121517197, -0.8914710248317637, 0.18741401427307064, -0.3437579796097302, 0.1580763714746359]","[-0.7741626356744145, 0.17294379310038407, 1.3360902302750617, -0.21213239910886733, 0.7682923028883365, -0.5783092522423948]",-1.3028029188475534,0.002573728561401367,6.340972185134888,"[-1.1146484186583827, 0.411314414315556, 2.227561255106825, -0.399546413381938, 1.1120502824980667, -0.7363856237170308]",2.378541892708081,,,,,30,3,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.4,5,True,5.0,run_4am0fk5z
6,0.5857827521969086,5,1709947531.3722332,True,"[0.3418027571898001, 0.2863155239068099, 0.13398700220649418, 0.3555041658806845]","[0.4450240362052042, 0.2769359678708629, 0.2468389580446401, 0.38217636903255214]",0.002045154571533203,"[0.05602854796987822, 0.30102401027974857, -0.2408501296250919, -0.08708407428338716]","[0.06689452776543603, 1.253457965128186, -0.28079223246236057, -0.9893829060084516]",0.029118354341147738,5.0,0.5481156796054494,-0.042940957224768705,"[0.4450240362052042, 0.2769359678708629, 0.2468389580446401, 0.38217636903255214]",0.3152906047720999,0.399183008013534,"[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",{'runtime': 5},0.01,0.4,0.39991533879975305,LR,"[0.6134147007763507, 0.4475911208106732, 0.29049160208307806, 0.5822363974899817]","[-0.16839066457114654, -0.17065515293981032, -0.043652644038437965, -0.2000600284574295]",3,0.558163396346466,"[-0.060484511700934496, -0.3040688641110425, 0.23858395043811248, 0.08302846814909581]","[0.06689452776543603, 1.253457965128186, -0.28079223246236057, -0.9893829060084516]",-0.5827584900068243,0.002045154571533203,6.225241184234619,"[0.12737903946637052, 1.5575268292392286, -0.519376182900473, -1.0724113741575474]",1.117609449183789,,,,,30,3,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.4,3,True,5.0,run_835m7soo
7,0.3228198242055724,6,1709947518.3460057,True,"[0.28109243879051515, 0.14489151913453163, 0.06485466396339451]","[0.5832583028701427, 0.49351903631950805, 0.3532215628607564]",0.0012912750244140625,"[-0.1561493497170689, -0.20950528057905232, 0.4674794794754464]","[-0.16681498152646024, -0.12449104059173732, 0.6703023733399055]",0.10182484917932522,5.0,0.516000799537907,-0.1371967316033803,"[0.5832583028701427, 0.49351903631950805, 0.3532215628607564]",0.18051849302925355,0.5355484532124103,"[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",{'runtime': 5},0.01,0.4,0.5339315112021741,LR,"[0.7544894904357018, 0.5505293502692152, 0.3572996547916481]","[-0.1712311875655591, -0.05701031394970718, -0.004078091930891703]",3,0.527647340443306,"[0.1408618050077307, 0.1975584139211156, -0.47561695053222663]","[-0.16681498152646024, -0.12449104059173732, 0.6703023733399055]",-0.232319593446158,0.0012912750244140625,6.406394720077515,"[-0.30767678653419095, -0.32204945451285294, 1.145919323872132]",0.4908386218884413,"{'path': 'media/images/line vs geodesic_6_3fa803cd61b8680fa6c7.png', 'size': 111115, '_type': 'image-file', 'width': 800, 'format': 'png', 'height': 800, 'sha256': '3fa803cd61b8680fa6c7b6f3b80d30f5293b1682a8d0e357a5b39e4f7f101a6d'}",,,,30,3,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.4,2,True,5.0,run_5gixfmf7
8,0.7684343947069285,5,1709947499.9985597,True,"[0.35680252379483474, 0.2623937598888431, 0.188178349118678, 0.29793886644774936, 0.2386312900916216, 0.31233888117514297, 0.1005106779221271, 0.15565205166209906, 0.20730189342851085, 0.08920007632884497, 0.17433610650923634]","[0.2737256545211802, 0.19673651330959377, 0.10151301206238313, 0.31942107048109825, 0.17999046390352724, 0.192009451695682, -0.000557116336924709, 0.06027742512275955, 0.1735908891395828, 0.1059475624451759, 0.11642712494286808]",0.0019745826721191406,"[-0.5606396932994588, -0.02081655026103313, 0.40710683986689855, -0.23322988994058744, 0.0943254700974629, 0.04294357068328414, -0.03395678592119683, 0.4698356819665246, 0.35351326359226676, 0.05796408211497613, 0.27429063650645213]","[-0.7910707881525161, -0.2821548745589976, 0.576749970235205, -0.09716797777025124, -0.016760438376888294, -0.3526274655394661, 0.30401736554523007, 0.8541138816249887, 0.8880516734973617, 0.018824182599721493, 0.8889821753896217]",0.851336625405589,5.0,0.5675625162913255,-0.5463849749300285,"[0.2737256545211802, 0.19673651330959377, 0.10151301206238313, 0.31942107048109825, 0.17999046390352724, 0.192009451695682, -0.000557116336924709, 0.06027742512275955, 0.1735908891395828, 0.1059475624451759, 0.11642712494286808]",0.4261094120260754,0.9854386062323616,"[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",{'runtime': 4},0.01,0.2,0.992743109825746,LR,"[0.466495867202644, 0.3403886600541484, 0.22091601596329952, 0.44278507316547167, 0.3101903563237434, 0.38046088343716467, 0.08589122700806516, 0.16884670777583832, 0.2795652773827489, 0.13861186163082992, 0.2177834056432187]","[-0.19277021268146383, -0.14365214674455465, -0.1194030039009164, -0.12336400268437342, -0.13019989242021618, -0.18845143174148263, -0.08644834334498987, -0.10856928265307876, -0.1059743882431661, -0.032664299185654014, -0.10135628070035065]",3,0.5770467409652489,"[0.6079723327228397, 0.05515717135880155, -0.38653877519861457, 0.28207283921930615, -0.06298494635361745, -0.006392364147606466, 0.03932402590588269, -0.4552526280344191, -0.3245199505883919, -0.042282839395698574, -0.2529398404185106]","[-0.7910707881525161, -0.2821548745589976, 0.576749970235205, -0.09716797777025124, -0.016760438376888294, -0.3526274655394661, 0.30401736554523007, 0.8541138816249887, 0.8880516734973617, 0.018824182599721493, 0.8889821753896217]",-1.3328532843002467,0.0019745826721191406,6.251083612442017,"[-1.3990431208753558, -0.3373120459177992, 0.9632887454338196, -0.37924081698955736, 0.04622450797672917, -0.34623510139185965, 0.2646933396393474, 1.3093665096594078, 1.2125716240857536, 0.06110702199542006, 1.1419220158081322]",2.383284476367688,,,,,30,3,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.2,10,True,5.0,run_nlch2sid
9,0.7299421894756747,5,1709947486.917427,True,"[0.34153397000763114, 0.271632738960794, 0.14660354059501596, 0.356248017621439, 0.2912841217341749, 0.33035452877685245]","[0.3608144829516273, 0.23138252654101624, 0.1923941536250743, 0.2968599911254268, 0.14863320520207396, 0.22058649300048427]",0.002096414566040039,"[-0.40661105086837257, 0.3196424968184184, 0.5299878406997074, -0.22620747919219164, 0.27351320121415934, -0.11807754460991438]","[-0.6935465839683109, 0.10170416256037752, 1.7048010425635345, -0.16035881652712994, 0.846623328302382, -0.6077402904311656]",0.3722474640618066,5.0,0.424685197462936,-0.30886265366340915,"[0.3608144829516273, 0.23138252654101624, 0.1923941536250743, 0.2968599911254268, 0.14863320520207396, 0.22058649300048427]",0.4025278011988676,0.8296460601799677,"[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",{'runtime': 5},0.01,0.2,0.8310687692775873,LR,"[0.5153741646356963, 0.3760537523704699, 0.2440630564734965, 0.48917901151883386, 0.3426913441420776, 0.4203246454331641]","[-0.15455968168406897, -0.14467122582945363, -0.05166890284842218, -0.19231902039340704, -0.1940581389400036, -0.19973815243267984]",3,0.4288705476424746,"[0.4211018346900718, -0.30961025175517853, -0.5227602125432909, 0.23918759685480803, -0.26542695419568474, 0.12864533328586514]","[-0.6935465839683109, 0.10170416256037752, 1.7048010425635345, -0.16035881652712994, 0.846623328302382, -0.6077402904311656]",-0.9370151221280352,0.002096414566040039,6.265942096710205,"[-1.1146484186583827, 0.411314414315556, 2.227561255106825, -0.399546413381938, 1.1120502824980667, -0.7363856237170308]",1.7376569176959076,,,,,30,3,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.2,5,True,5.0,run_32v7dk17
