,estimator_intercept_err_sum,true_coef,geodesic_tol,true_intercept,model,noise_factor,lr_intercept_err_sum,lr_coef_err_norm,linear_intercept_hat,rmsd_linear,rmsd_geodesic,estimator_coef_err,lr_intercept_err_norm,estimator_duration_time,_runtime,lr_coef_err,estimator,_timestamp,lr_duration_time,X,_wandb,lr_coef_err_sum,estimator_coef_hat,estimator_intercept_hat,estimator_intercept_err_norm,linear_noise,linear_coef_hat,estimator_coef_err_norm,synthetic_tan_vec_length,_step,lr_intercept_err,estimator_coef_err_sum,estimator_intercept_err,line vs geodesic,n_gr_jacobian_evaluations,n_gr_iterations,n_gr_function_evaluations,true_coef_fig,n_vertices,mesh_sequence_vertices,n_faces,true_intercept_fig,mesh_diameter,estimator_coef_hat_fig,estimator_y_prediction_fig,estimator_intercept_hat_fig,n_X,model,full_run,use_cuda,device_id,estimator,tol_factor,project_dir,torch_dtype,dataset_name,linear_noise,noise_factor,space_dimension,project_linear_noise,synthetic_tan_vec_length,n_steps,end_shape,start_shape,n_subdivisions,0
0,1.784203820608567,"[-1.3990431208753558, -0.3373120459177992, 0.9632887454338196, -0.37924081698955736, 0.04622450797672917, -0.34623510139185965, 0.2646933396393474, 1.3093665096594078, 1.2125716240857536, 0.06110702199542006, 1.1419220158081322]",0.01,"[0.466495867202644, 0.3403886600541484, 0.22091601596329952, 0.44278507316547167, 0.3101903563237434, 0.38046088343716467, 0.08589122700806516, 0.16884670777583832, 0.2795652773827489, 0.13861186163082992, 0.2177834056432187]",2,0.6,-0.8598489531380822,0.9725318651584938,"[0.32952916332750515, 0.36463126411528896, 0.16863770033519054, 0.11272782028592424, 0.251600871839516, 0.2805583924207521, 0.14287088236079243, 0.28996519565471807, 0.052682137012457345, -0.011742009324132656, 0.21062496442107845]",1.8891110542169791,1.0635162746024025,"[-0.6305705696854974, -0.3455818889873358, 0.513903241428276, 0.20210131599492984, -0.17556035145452983, 0.10728438517487576, -0.034338409786772606, -0.1937560005258621, 0.02250050434902895, 0.16697267196093865, -0.3213809737883482]",0.4862936233338276,0.0020465850830078125,6.274670839309692,"[0.5665322210537387, 0.28865467305613096, -0.5452632073478583, -0.2464527046600203, 0.13031062623540035, -0.1604817991961387, 0.015796023441807694, 0.15655698695792442, -0.04898414802534967, -0.17699360687773097, 0.28682049215415883]",LR,1709960613.65025,0.0020465850830078125,"[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",{'runtime': 5},0.26649555679206316,"[-0.8325108998216171, -0.04865737286166821, 0.4180255380859614, -0.6256935216495777, 0.17653513421212952, -0.5067169005879983, 0.2804893630811551, 1.4659234966173322, 1.163587476060404, -0.11588658488231092, 1.428742507962291]","[0.32952916332750515, 0.36463126411528896, 0.16863770033519054, 0.11272782028592424, 0.251600871839516, 0.2805583924207521, 0.14287088236079243, 0.28996519565471807, 0.052682137012457345, -0.011742009324132656, 0.21062496442107845]",0.6770823985744686,True,"[-0.8325108998216171, -0.04865737286166821, 0.4180255380859614, -0.6256935216495777, 0.17653513421212952, -0.5067169005879983, 0.2804893630811551, 1.4659234966173322, 1.163587476060404, -0.11588658488231092, 1.428742507962291]",1.0172076166886748,5.0,5,"[-0.13696670387513887, 0.024242604061140535, -0.05227831562810897, -0.33005725287954746, -0.058589484484227405, -0.09990249101641258, 0.05697965535272727, 0.12111848787887974, -0.22688314037029156, -0.15035387095496258, -0.007158441222140266]",-0.6884260753202965,"[0.27690036792769035, 0.108282989317524, 0.12162862717747124, 0.4138735357194918, 0.15959403540243722, 0.21691988374607332, -0.01107980370495576, -0.028656842702104585, 0.2752732189536931, 0.16507145086366792, 0.08639635790757841]",,,,,,,,,,,,,,30,2,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.6,10.0,False,5.0,,,,,run_t0gkknt3
1,2.2654471839417223,"[-1.1146484186583827, 0.411314414315556, 2.227561255106825, -0.399546413381938, 1.1120502824980667, -0.7363856237170308]",0.01,"[0.5153741646356963, 0.3760537523704699, 0.2440630564734965, 0.48917901151883386, 0.3426913441420776, 0.4203246454331641]",2,0.6,-1.318982455861533,1.2652115875544014,"[0.26793097516427195, 0.2134813430974689, -0.03901029151911254, 0.3197428149098223, 0.06189806556458212, 0.2446606114951724]",1.3917934311446711,1.1152816190688388,"[0.15700103079007488, 0.17490098557596878, 1.0998401086410805, 0.08171897250027405, 0.07314900035665839, -0.5318026705208173]",0.5533532176208598,0.0021080970764160156,6.248546600341797,"[-0.21567609955001443, -0.21909270945956597, -1.114910330094453, -0.14242716216722595, -0.1032525891658187, 0.4819449431031629]",LR,1709960600.4180677,0.0021080970764160156,"[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",{'runtime': 4},-1.313413947333915,"[-1.3303245182083971, 0.19222170485599008, 1.1126509250123722, -0.5419735755491639, 1.008797693332248, -0.2544406806138679]","[0.26793097516427195, 0.2134813430974689, -0.03901029151911254, 0.3197428149098223, 0.06189806556458212, 0.2446606114951724]",0.9326461229423942,True,"[-1.3303245182083971, 0.19222170485599008, 1.1126509250123722, -0.5419735755491639, 1.008797693332248, -0.2544406806138679]",1.2488918248162917,5.0,5,"[-0.24744318947142435, -0.16257240927300098, -0.283073347992609, -0.16943619660901155, -0.2807932785774955, -0.17566403393799174]",1.054807427343239,"[0.4668435029334856, 0.3299543851436032, 0.31969430995821757, 0.4042206794764388, 0.37953077694375387, 0.36520352948622337]",,,,,,,,,,,,,,30,2,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.6,5.0,False,5.0,,,,,run_17ruruvq
2,1.043716680219695,"[0.12737903946637052, 1.5575268292392286, -0.519376182900473, -1.0724113741575474]",0.01,"[0.6134147007763507, 0.4475911208106732, 0.29049160208307806, 0.5822363974899817]",2,0.6,-0.5780982845657221,1.1435793766266753,"[0.3132393341686774, 0.3895859044972971, 0.06462505181752087, 0.5881852461108662]",1.2237287200178153,0.9180036344321776,"[0.6304335369007928, -0.08267243720144091, 0.485488226008588, -0.7763442042360108]",0.38015910243790074,0.0026388168334960938,6.478590250015259,"[-0.8504755040626089, -0.1171087773087971, -0.5693009487871326, 0.4966358541452839]",LR,1709960583.3976223,0.0026388168334960938,"[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",{'runtime': 5},-1.0402493760132543,"[-0.7230964645962383, 1.4404180519304317, -1.0886771316876056, -0.5757755200122635]","[0.3132393341686774, 0.3895859044972971, 0.06462505181752087, 0.5881852461108662]",0.5602988328180262,True,"[-0.7230964645962383, 1.4404180519304317, -1.0886771316876056, -0.5757755200122635]",1.1147602062174091,5.0,5,"[-0.30017536660767336, -0.05800521631337613, -0.2258665502655572, 0.005948848620884517]",0.256905121471929,"[0.4247465820246771, 0.18079276265803831, 0.2682791719178048, 0.16989816361917476]",,,,,,,,,,,,,,30,2,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.6,3.0,False,5.0,,,,,run_6are4nvo
3,-0.011148956627923534,"[-0.30767678653419095, -0.32204945451285294, 1.145919323872132]",0.01,"[0.7544894904357018, 0.5505293502692152, 0.3572996547916481]",2,0.6,0.011148956627923534,0.5195274627444183,"[0.8560651970068959, 0.5190319214988096, 0.2983703336187832]",1.008238090713704,0.7389804697743082,"[0.1740112807274169, 0.5219883587589974, 0.18318276328976568]",0.12158279927061544,0.0020368099212646484,6.4160542488098145,"[-0.11325964384227548, -0.48163889685824435, -0.15844560787711126]",LR,1709960570.1439211,0.0020368099212646484,"[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",{'runtime': 5},-0.7533441485776311,"[-0.4209364303764664, -0.8036883513710973, 0.9874737159950208]","[0.8560651970068959, 0.5190319214988096, 0.2983703336187832]",0.12158279927061544,True,"[-0.4209364303764664, -0.8036883513710973, 0.9874737159950208]",0.5799204232192396,5.0,6,"[0.10157570657119408, -0.03149742877040562, -0.05892932117286493]",0.87918240277618,"[-0.10157570657119408, 0.03149742877040562, 0.05892932117286493]","{'_type': 'image-file', 'width': 800, 'format': 'png', 'height': 800, 'sha256': 'e38098b687f67366ab9495e0999d864c6342d41c4db14c3623010a065ec187aa', 'path': 'media/images/line vs geodesic_6_e38098b687f67366ab94.png', 'size': 112229}",,,,,,,,,,,,,30,2,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.6,2.0,False,5.0,,,,,run_o4uie4t7
4,1.4758767785131404,"[-1.3990431208753558, -0.3373120459177992, 0.9632887454338196, -0.37924081698955736, 0.04622450797672917, -0.34623510139185965, 0.2646933396393474, 1.3093665096594078, 1.2125716240857536, 0.06110702199542006, 1.1419220158081322]",0.01,"[0.466495867202644, 0.3403886600541484, 0.22091601596329952, 0.44278507316547167, 0.3101903563237434, 0.38046088343716467, 0.08589122700806516, 0.16884670777583832, 0.2795652773827489, 0.13861186163082992, 0.2177834056432187]",2,0.4,-0.7283935430185872,0.903703831096595,"[0.3660553908948286, 0.19970393739888656, 0.0708216801869008, 0.2878041548685769, 0.20210853077584912, 0.37174293584557205, 0.22334771603549627, 0.19704032538131905, 0.21548155599833588, 0.05701893211339688, 0.1324166330694235]",1.2260669763655552,0.8897400165953282,"[-0.3255509990388843, -0.2294167695856832, 0.15827751746894336, -0.30068037936968117, -0.13022330652544117, -0.1712277361745125, 0.11179813153643026, 0.3426556653857863, 0.458230274042056, 0.0716391009423858, 0.10598322829218844]",0.3548610158422892,0.002129793167114258,6.311411619186401,"[0.4359116358058483, 0.30081066926719346, -0.119908705055488, 0.397348886227769, 0.19801011369289193, 0.27115414284454287, -0.07034525467885738, -0.29396389218233665, -0.39261977090446254, -0.04585982302216803, -0.059675451286717696]",LR,1709960556.8350575,0.002129793167114258,"[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",{'runtime': 5},0.6208625507082153,"[-0.9631314850695074, -0.03650137665060572, 0.8433800403783316, 0.0181080692382116, 0.2442346216696211, -0.07508095854731675, 0.19434808496049, 1.0154026174770712, 0.819951853181291, 0.015247198973252033, 1.0822465645214143]","[0.3660553908948286, 0.19970393739888656, 0.0708216801869008, 0.2878041548685769, 0.20210853077584912, 0.37174293584557205, 0.22334771603549627, 0.19704032538131905, 0.21548155599833588, 0.05701893211339688, 0.1324166330694235]",0.5395123896687042,True,"[-0.9631314850695074, -0.03650137665060572, 0.8433800403783316, 0.0181080692382116, 0.2442346216696211, -0.07508095854731675, 0.19434808496049, 1.0154026174770712, 0.819951853181291, 0.015247198973252033, 1.0822465645214143]",0.8225596234693134,5.0,5,"[-0.10044047630781544, -0.14068472265526186, -0.15009433577639872, -0.15498091829689475, -0.10808182554789428, -0.008717947591592612, 0.13745648902743113, 0.028193617605480698, -0.06408372138441301, -0.08159292951743304, -0.08536677257379521]",0.09148472697358778,"[0.21678726176076724, 0.21263933404882615, 0.18550610120818944, 0.2539619357351209, 0.17751627714680976, 0.117661468936134, -0.08609185279040145, 0.026311123399947733, 0.13306184949836514, 0.10622761746102086, 0.13229566210836058]",,,,,,,,,,,,,,30,2,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.4,10.0,False,5.0,,,,,run_qejrnq64
5,2.0907133906865374,"[-1.1146484186583827, 0.411314414315556, 2.227561255106825, -0.399546413381938, 1.1120502824980667, -0.7363856237170308]",0.01,"[0.5153741646356963, 0.3760537523704699, 0.2440630564734965, 0.48917901151883386, 0.3426913441420776, 0.4203246454331641]",2,0.4,-1.167423089740101,0.6197864050306424,"[0.33263908985516993, 0.23929309553579087, 0.009031541064937544, 0.09998721521330592, 0.18817334603791708, 0.35113859712651585]",0.9547541284944272,0.7796209588986208,"[-0.28207810325462335, 0.0884944456816052, 0.3754243056367193, 0.21435686073509383, 0.2912415780974491, -0.14587162080432103]",0.5361605854387954,0.0020456314086914062,6.316058874130249,"[0.3522417493036756, -0.0375877212799538, -0.35475977548487125, -0.16601124606393924, -0.24737984717378855, 0.20985013749761883]",LR,1709960543.679869,0.0020456314086914062,"[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",{'runtime': 5},-0.24364670320125847,"[-0.7624066693547071, 0.37372669303560224, 1.872801479621954, -0.5655576594458772, 0.8646704353242781, -0.5265354862194119]","[0.33263908985516993, 0.23929309553579087, 0.009031541064937544, 0.09998721521330592, 0.18817334603791708, 0.35113859712651585]",0.8809731041898025,True,"[-0.7624066693547071, 0.37372669303560224, 1.872801479621954, -0.5655576594458772, 0.8646704353242781, -0.5265354862194119]",0.6167590962669378,5.0,5,"[-0.18273507478052636, -0.13676065683467903, -0.23503151540855896, -0.3891917963055279, -0.1545179981041605, -0.06918604830664826]",0.541567466091923,"[0.4078097372206638, 0.2997161930660974, 0.2863259309734801, 0.52249243480659, 0.29188670334279126, 0.282482391276915]",,,,,,,,,,,,,,30,2,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.4,5.0,False,5.0,,,,,run_1aat2yt3
6,0.4865616671334798,"[0.12737903946637052, 1.5575268292392286, -0.519376182900473, -1.0724113741575474]",0.01,"[0.6134147007763507, 0.4475911208106732, 0.29049160208307806, 0.5822363974899817]",2,0.4,-0.2497716444689937,0.8120492813487562,"[0.4601693417183609, 0.41969972958189705, 0.22781245597857944, 0.5762806494122527]",0.7405280130466223,0.550936317218673,"[0.5820173562301303, 0.003977203017134334, -0.3647225192266327, 0.2702650490898031]",0.16800659531412254,0.0021355152130126953,6.359503984451294,"[-0.6527970169274516, -0.0612510597940108, 0.33054039960326137, -0.3468017328876525]",LR,1709960530.491203,0.0021355152130126953,"[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",{'runtime': 5},-0.7303094100058536,"[-0.5254179774610811, 1.4962757694452178, -0.18883578329721168, -1.4192131070452]","[0.4601693417183609, 0.41969972958189705, 0.22781245597857944, 0.5762806494122527]",0.26953327634660745,True,"[-0.5254179774610811, 1.4962757694452178, -0.18883578329721168, -1.4192131070452]",0.738123115670743,5.0,5,"[-0.15324535905798986, -0.027891391228776152, -0.06267914610449862, -0.005955748077729028]",0.49153708911043503,"[0.2217798576844877, 0.08535986641917442, 0.0960140726638724, 0.08340787036594532]",,,,,,,,,,,,,,30,2,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.4,3.0,False,5.0,,,,,run_95hfqhfk
7,0.5252355280855624,"[-0.30767678653419095, -0.32204945451285294, 1.145919323872132]",0.01,"[0.7544894904357018, 0.5505293502692152, 0.3572996547916481]",2,0.4,-0.2857974529187618,0.3756880065771227,"[0.7059770265016305, 0.3810556851192145, 0.2894883309569583]",0.6403356319518531,0.5472950909801939,"[0.21765416798333048, 0.053290566205081935, -0.2987267531687898]",0.188873391393659,0.002173900604248047,6.4822306632995605,"[-0.22442492695897476, -0.057598512783265665, 0.2957318747962536]",LR,1709960517.4408576,0.002173900604248047,"[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",{'runtime': 5},0.013708435054013202,"[-0.5321017134931657, -0.3796479672961186, 1.4416511986683858]","[0.7059770265016305, 0.3810556851192145, 0.2894883309569583]",0.3154978661040947,True,"[-0.5321017134931657, -0.3796479672961186, 1.4416511986683858]",0.3734312444691006,5.0,6,"[-0.04851246393407127, -0.16947366515000073, -0.0678113238346898]",-0.02778201898037741,"[0.16594225830406872, 0.24070498227275683, 0.11858828750873684]","{'format': 'png', 'height': 800, 'sha256': '58b0e2a228feefb5440af6c464d9f0251f3c34aea2284416c48025729998519c', 'path': 'media/images/line vs geodesic_6_58b0e2a228feefb5440a.png', 'size': 112431, '_type': 'image-file', 'width': 800}",,,,,,,,,,,,,30,2,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.4,2.0,False,5.0,,,,,run_v9xaacp3
8,1.8289150975402677,"[-1.3990431208753558, -0.3373120459177992, 0.9632887454338196, -0.37924081698955736, 0.04622450797672917, -0.34623510139185965, 0.2646933396393474, 1.3093665096594078, 1.2125716240857536, 0.06110702199542006, 1.1419220158081322]",0.01,"[0.466495867202644, 0.3403886600541484, 0.22091601596329952, 0.44278507316547167, 0.3101903563237434, 0.38046088343716467, 0.08589122700806516, 0.16884670777583832, 0.2795652773827489, 0.13861186163082992, 0.2177834056432187]",2,0.2,-0.976603935356518,0.6943406033216113,"[0.31565090464242235, 0.2413390670521506, 0.12102069947235324, 0.3120412346584509, 0.21489569759441263, 0.2769184612203413, 0.09318824218945494, 0.09816295689426376, 0.1996778098493655, 0.08346362909542307, 0.11897269756201624]",0.6350281382961056,0.552095621104176,"[-0.3069233673569498, -0.18876099500992644, 0.2648533166542225, 0.08645045913213156, 0.12617770466417214, 0.02487767378631922, 0.01638093954164374, 0.21881561332292776, 0.0137621430090471, -0.2655987566405044, 0.3703206384727862]",0.3219883312642402,0.001980066299438477,6.291815996170044,"[0.334986388136556, 0.20964395114944367, -0.2526128753280311, -0.05935541861935845, -0.10733295003278304, -0.0012720278872238031, -0.009921070573676973, -0.20925131060461544, 0.0034432187177362295, 0.27355652449405005, -0.3582660041541117]",LR,1709960504.089009,0.001980066299438477,"[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",{'runtime': 5},-0.17638157470201454,"[-1.0640567327387995, -0.1276680947683555, 0.7106758701057885, -0.4385962356089158, -0.06110844205605387, -0.34750712927908345, 0.2547722690656704, 1.1001151990547924, 1.2160148428034898, 0.3346635464894701, 0.7836560116540205]","[0.31565090464242235, 0.2413390670521506, 0.12102069947235324, 0.3120412346584509, 0.21489569759441263, 0.2769184612203413, 0.09318824218945494, 0.09816295689426376, 0.1996778098493655, 0.08346362909542307, 0.11897269756201624]",0.597991938049916,True,"[-1.0640567327387995, -0.1276680947683555, 0.7106758701057885, -0.4385962356089158, -0.06110844205605387, -0.34750712927908345, 0.2547722690656704, 1.1001151990547924, 1.2160148428034898, 0.3346635464894701, 0.7836560116540205]",0.6928285638621822,5.0,5,"[-0.15084496256022167, -0.0990495930019978, -0.09989531649094628, -0.13074383850702076, -0.0952946587293308, -0.10354242221682336, 0.007297015181389782, -0.07068375088157457, -0.07988746753338336, -0.05514823253540685, -0.09881070808120249]",0.3603553695758696,"[0.28075695272374557, 0.19641248496452257, 0.15477873692740934, 0.2569529444753903, 0.1828459868717044, 0.2140392156042981, 0.024802502958393924, 0.11395299528602304, 0.16019405035704865, 0.0913407697105042, 0.15283845766122772]",,,,,,,,,,,,,,30,2,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.2,10.0,False,5.0,,,,,run_tzhbk63a
9,1.4656896953311511,"[-1.1146484186583827, 0.411314414315556, 2.227561255106825, -0.399546413381938, 1.1120502824980667, -0.7363856237170308]",0.01,"[0.5153741646356963, 0.3760537523704699, 0.2440630564734965, 0.48917901151883386, 0.3426913441420776, 0.4203246454331641]",2,0.2,-0.7775255877252683,0.8384945824640683,"[0.367430999562865, 0.2300541656197181, 0.17949533397605483, 0.29383206914063126, 0.2090148992917378, 0.330332919257463]",0.5410921103697468,0.49897326718672985,"[-0.3720158261573653, 0.13427981460783878, 0.5409504866732402, -0.09394322089002792, 0.46602741226151057, -0.16693852408390686]",0.3339167273379473,0.002097129821777344,6.282538414001465,"[0.3705150290010758, -0.1353084808009669, -0.5416708002736639, 0.09261458381917648, -0.466963719204632, 0.16566098234263082]",LR,1709960490.8588223,0.002097129821777344,"[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",{'runtime': 4},-0.5151524051163796,"[-0.7441333896573069, 0.27600593351458913, 1.6858904548331612, -0.3069318295627615, 0.6450865632934347, -0.5707246413743999]","[0.367430999562865, 0.2300541656197181, 0.17949533397605483, 0.29383206914063126, 0.2090148992917378, 0.330332919257463]",0.6166142438213407,True,"[-0.7441333896573069, 0.27600593351458913, 1.6858904548331612, -0.3069318295627615, 0.6450865632934347, -0.5707246413743999]",0.8384089820060039,5.0,5,"[-0.14794316507283123, -0.14599958675075184, -0.06456772249744167, -0.1953469423782026, -0.13367644485033978, -0.08999172617570111]",0.5083601424112895,"[0.30128752678250587, 0.24869273601570424, 0.1385140352084576, 0.32762046314049664, 0.22710677736407983, 0.22246815681990703]",,,,,,,,,,,,,,30,2,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.2,5.0,False,5.0,,,,,run_zyqcafor
